14019A device comprising: a substrate; a first dielectric device layer on the substrate comprising a target thickness TTFD; and a second dielectric device layer over the first dielectric device layer having a target thickness TTSD, wherein a lower portion of the second dielectric device layer comprises a consumed upper portion of the first dielectric device layer.508
13915223	An Internet-based system for implementing massive groupware applications, comprising: a plurality of computer-based clients, each including a processor and memory with instructions stored in the memory and executed by the processor to implement a groupware application; one or more repeater routers, each repeater router being operative to receive input data packets from at least one of the clients and perform the following functions: decode the input data packets and replicate the packets in accordance with a set of rules, and forward the replicated packets as output data packets to other clients based upon a connection protocol; and one or more lobby managers providing and updating the rules and connection protocol to each repeater router so that each repeater router only forwards packets to relevant clients associated with the groupware application.
13696208	A system for managing radio resources to mitigate interference between wireless access points, comprising: a first access point and a second access point; a user equipment device operable to wirelessly communicate with the first access point using a first set of radio resources and to wirelessly communicate with the second access point using a second set of radio resources, wherein the user equipment device is further operable to use the first and second sets of radio resources to communicate cooperation data to the first and second access points to mitigate interference.
13978867	A method consisting of the steps of: receiving, by a processor, health promotion data; processing, by the processor, the health promotion data to identify at least one preselected behavior change methodology; and generating, by the processor, a corresponding instruction to initiate the identified at least one behavior change methodology, wherein the health promotion data are generated from at least one event selected from group consisting essentially of an ingestion event, an injection event, an inhalation event, an infusion event, a health monitoring event, a physical activity event, and an eating event, wherein the ingestion event generating the health promotion data is facilitated via an ingestible device.
14006299	A software sharing method, comprising: downloading shared software from a remote server; acquiring a software sharing request; communicating with the remote server to pay a required fee for transmitting the shared software, and to acquire a software transmitting authorization issued by the remote server after the remote server confirms a receipt of the fee; and sending the shared software to an external device according to the software sharing request and the software transmitting authorization by way of short range transmission.
13988771	A double-sheath fiber having a core region (1) and a sheath region, the sheath region having an inner region (2) and an outer region (3), which comprises a refractive index that is lower with respect to that of the inner region (2) and the core region (1), wherein the outer region (3) surrounds the inner region (2), comprising an internal structure (4) of the inner region (2) which effects a spatial overlap of modes of higher order with the core region (1), which is lower than the spatial overlap of a fundamental mode with the core region (1).
13542392	A feature and deployment recommendation system for content management systems operable on one or more microprocessors, the content management system comprising: a vendor-site deployment including a customer configuration repository adapted to store content usage metrics received from one or more customer-site deployments; an analytical engine configured to generate content usage patterns based on the stored content usage metrics; and a recommendation engine configured to recommend an adaptation of any of the one or more customer-site deployments based on the generated content usage patterns.
13543100	A device, comprising: a hybrid controller configured to manage data transfers between a host processor and a secondary memory, the secondary memory configured to serve as a cache for a primary memory, the primary memory including a memory space corresponding to host logical block addresses (LBAs), the hybrid controller configured to receive incoming memory access requests from the host processor, the memory access requests including a range of host LBAs; route the incoming memory access requests to a set of incoming queues; map the range of host LBAs into clusters of secondary memory LBAs; transform each incoming memory access request into one or more outgoing memory access requests, each outgoing memory access request including a range or cluster of secondary memory LBAs; route the outgoing memory access requests from the incoming queues into a set of outgoing queues; and access the secondary memory using the outgoing memory access requests.
13965688	A computer-implemented method comprising: receiving, by a computing device processor, an electronic document including content items, a rule and a digital signature; generating a digest for the electronic document by digesting all of the content items, using multiple functions based upon complexity of the content items, except for at least a first content item that is ignored in the digest generation based on the rule; and invalidating the digital signature if the digest indicates a difference in any of the digested content items.
13926213	An integrated circuit for performing data processing, said integrated circuit comprising: a latch configured to receive and to store a signal value; an error detector configured to detect errors in operation of said integrated circuit by detecting a late arriving transition in said signal value received by said latch; and error-repair circuitry configured to repair errors in operation of said integrated circuit.
14023124	A set-top box, comprising: a memory to store executable instructions; and a processor coupled to the memory, wherein the processor, responsive to executing the executable instructions, performs operations comprising: receiving a media program from a communication network through a gateway device collocated with the set-top box; presenting the media program at a media device; pausing presentation of the media program responsive to a pause request; generating a departure mark that identifies a presentation point in the media program associated with the pause request; recording the media program from the departure mark to generate a recorded media program; receiving from a portable communication device a request to resume presentation of the media program from the departure mark responsive to selection of a function of a media controller emulator executed by the portable communication device, wherein the media controller emulator is one of a plurality of media controller emulators; and transmitting the recorded media program by way of the gateway device and the communication network to the portable communication device, wherein the recorded media program is transmitted from the departure mark for presentation of the recorded media program at the portable communication device.
